Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Owned Net Generation Capacity (Renewable),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"10,000 KWh"
Owned Net Generation Capacity (Non-Renewable),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"10,000 KWh"
Owned Net Generation (Renewable),not reported,not reported,not reported,not reported,273.2,289.7,296.2,299.7,314.7,"10,000 KW"
Owned Net Generation (Non-Renewable),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"10,000 KW"
Retail Electric Customers (Commercial),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
Retail Electric Customers (Industrial),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
Retail Electric Customers (Residential),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
CO2 Owned Generation Emissions,not reported,not reported,not reported,not reported,4969,4174,4158,4509,4081,"10,000 t-CO2"
CO2 Owned Generation Emissions Intensity,not reported,not reported,not reported,not reported,0.424,0.377,0.382,0.44,0.393,kg-CO2/kWh
Total Owned Generation CO2 Emissions,not reported,not reported,not reported,not reported,4969,4174,4158,4509,4081,"10,000 t-CO2"
Total Owned Generation CO2 Emissions Intensity,not reported,not reported,not reported,not reported,0.424,0.377,0.382,0.44,0.393,kg-CO2/kWh
NOx Emissions Intensity,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,g/kWh
SO2 Emissions Intensity,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,g/kWh
Hg Emissions Intensity,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Water withdrawals - consumptive rate,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Water withdrawals - non-consumptive rate,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Amount of hazardous waste manifested for disposal,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Percent of coal combustion products beneficially used,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,%
