Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Owned Net Generation Capacity (Renewable),not reported,"40,060","39,745","37,427","35,338","32,797",31544,33290,33487,GWh
Owned Net Generation Capacity (Non-Renewable),not reported,0,0,0,0,0,0,0,0,GWh
Owned Net Generation (Renewable),not reported,"10,710","10,711","10,712","10,711","10,706",9820,9960,10261,MW
Owned Net Generation (Non-Renewable),not reported,820,820,820,820,820,820,820,820,MW
Retail Electric Customers (Commercial),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
Retail Electric Customers (Industrial),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
Retail Electric Customers (Residential),not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,million
CO2 Owned Generation Emissions,not reported,not reported,not reported,37.52,33.68,29.38,24.15,25.27,24.72,t-CO2
CO2 Owned Generation Emissions Intensity,not reported,not reported,not reported,0.677,0.636,0.585,0.521,0.536,0.545,kg-CO2/kWh
Total Owned Generation CO2 Emissions,not reported,not reported,not reported,37.52,33.68,29.38,24.15,25.27,24.72,million t-CO2
Total Owned Generation CO2 Emissions Intensity,not reported,not reported,not reported,0.677,0.636,0.585,0.521,0.536,0.545,kg-CO2/kWh
NOx Emissions Intensity,not reported,not reported,not reported,0.27,0.27,0.25,0.23,0.24,0.2,g/kWh
SO2 Emissions Intensity,not reported,not reported,not reported,0.16,0.14,0.15,0.13,0.11,0.09,g/kWh
Hg Emissions Intensity,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Water withdrawals - consumptive rate,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Water withdrawals - non-consumptive rate,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Amount of hazardous waste manifested for disposal,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,
Percent of coal combustion products beneficially used,not reported,99.3,99.4,98.7,98.9,98.7,99.8,99.4,98.9,%
