Metric,2005,2016,2017,2018,2019,2020,2021,2022,2023,Units
Owned Net Generation Capacity (Renewable),8899795,43917845,49898412,51858170,46401059,53681041,74128586,75458129,82651231,MWh
Owned Net Generation Capacity (Non-Renewable),1.23E+08,1.45E+08,1.34E+08,1.48E+08,1.50E+08,1.58E+08,1.56E+08,1.53E+08,155635506,MWh
Owned Net Generation (Renewable),4250.044,15309.2,14833.61,"16,854",17964.22,22710.4,24807.43,25622.83,30683,MW
Owned Net Generation (Non-Renewable),29411.24,32218.57,28862.2,29942.42,30562.79,33109.99,30411.67,30003.5,33068,MW
Retail Electric Customers (Commercial),459238.9,505933.8,538787.9,499660.9,567566.4,583257.5,590396.2,670855.3,642772,Number of customers
Retail Electric Customers (Industrial),21568.28,12217.09,12730.71,12480.78,12726.97,12493.53,13733.93,14720.7,15625,Number of customers
Retail Electric Customers (Residential),4006207,4554093,4022846,4683742,4371109,4774986,5475256,4820631,5179816,Number of customers
CO2 Owned Generation Emissions ,54311659,50025459,45034223,40964156,54696719,50513430,44492391,40959088,45503388,tons
CO2 Owned Generation Emissions Intensity,774.163,515.585,473.17,427.916,468.885,401.483,445.516,405.309,381,lbs/Net MWh
Total Owned Generation CO2 Emissions,45464793,54.88,127.78,38843024,41027976,46074628,42066904,38133977,41280028,MT
Total Owned Generation CO2 Emissions Intensity,0.271,207.42,117.4,0.215,0.229,0.189,0.191,0.18,0.17,MT/Net MWh
NOx Emissions Intensity,0.942,0.14,0.121,0.104,0.121,0.092,0.118,0.082,0.07,lbs/Net MWh
SO2 Emissions Intensity,2.029,0.03,0.028,0.019,0.021,0.012,0.008,0.01,0,lbs/Net MWh
Amount of hazardous waste manifested for disposal ,342.98,257.67,0.475,0.247,0.995,0.841,1.345,6.782,11.6,tons
Percent of coal combustion products beneficially used,216.57,233.96,233.18,0.755,71.284,96.041,85.722,128.388,199.6,%
